,conversation,power
33,"A: So it was like, uh, forty-five cepstrum plus twenty-three mel -  log  mel.
B: Yeah.
A: And - and , just, like, it gave me the baseline performance of the Aurora, which is like
B: zero improvement.
      Yeah.
A: Yeah.
      So I just tried it on Italian just to know that everything is -  But I -  I  didn't export  anything  out of it because it was, like, a weird feature set.
B: Yeah.
",B
34,"A: Yeah, I have a busy weekend but after that -
B: Yeah, gung-ho.
      O_K. Yeah, so - so someti- sometime next week.
A: Great,
B: Now if it turns out that that effort leads us into
A: some big hole
      Mm-hmm.
B: that's fine.
",B
35,"A: Because see what you are fitting is the multidimensional Gaussian, right?
      Mm-hmm.
B: It's a - it has - it has uh thirty-nine dimensions, or thirteen dimensions if you g- ignore deltas and double-deltas.
A: Mm-hmm.
B: Mm-hmm.
      So in order - if you - in order to make dimension which - which  Stephane  sees uh less important,
A: uh uh I mean not - not useful, less important, what you do is that this particular component in the model
      you can multiply by w- you can - you can basically de- weight  it in the model. But you can't do it in a - in a test data because you don't have a model for th- I mean
      uh when the  test  comes, but what you can  do  is that you put this particular
       component  in - and - and you  compress  it.
      That becomes uh th- gets less variance, subsequently becomes less important.
      Couldn't you just do that to the test data and  not
B: do  anything  with your  training  data?
      That would be very bad, because uh your t- your model was trained uh expecting
",B
36,"A: Yeah.
      O_K, well, i- i- let's - let's see what we can get.
B: I mean, it - it - I think that if we're aiming at - at uh, groups of graduate students and professors and so forth who are talking about things together,
      Yes, that's fine.
A: and it's from the Berkeley campus, probably most of it
B: That's fine.
A: Exactly. And my point in m- in my note to Liz was
      will be O_K, but -
B: O_K.
      I think that undergrads are an iff- iffy population.
",A
37,"A: which is like
       final  filter is acting on the input noisy speech rather than on the cleaned up.
      So this is more like I'm doing Wiener filter twice,
      but the only thing is that the second time I'm actually smoothing the filter and then cleaning up the cleaned up spectrum first level.
      O_K.
B: And so that - that's - that's what the difference is. And actually I tried it on s- the original clean -
A: I mean, the original spectrum where, like, I - the second time I estimate the filter but actually clean up the
      noisy speech rather the c- s- first -
      output of the first stage and that doesn't -
      seems to be a - giving, I mean, that much improvement. I - I didn- didn't run it for the whole case.
      And -
       and what I t- what I tried was, by using the  same  thing but - Uh, so we actually found that
      the VAD is very, like, crucial. I mean, just by changing the  VAD  itself gives you the - a lot of improvement by instead of using
      Mm-hmm.
B: the current VAD, if you just take up the VAD output from the channel zero,
A: when -  instead of using channel zero and channel one,
      because that was the p- that was the reason why I was  not  getting a lot of improvement for estimating  the  noise.
      So I just used the channel zero VAD to estimate the noise so that it gives me some reliable mar-
      markers for this noise estimation.
      What's a channel zero VAD? I'm - I'm confused about that.
B: Um, so, it's like -
",A
38,"A: Yeah, you know  actually,  this reminds me of something that happened uh when I was at B_B_N. We were playing with putting um  pitch
B: Mm-hmm.
A: into the  Mandarin  recognizer.
B: And this particular  pitch  algorithm
      um
      when it didn't think there was any  voicing,  was spitting out  zeros.
      So we were getting -
      uh when we did  clustering,  we were getting
      groups uh of  features
      p- Pretty new outliers, interesting outliers, right?
A: yeah, with -
B: with a mean of zero and basically zero  variance.
      Variance.
",B
39,"A: O_K. So I guess the way it would work is that you'd get -
B: There'd be some point where you say, ""O_K, this is their version-one"" or whatever,
      and we get these V_A_D labels and features and so forth for all these test sets from them,
      Mm-hmm.
A: and then um,
B: uh, that's what we work with. We have a certain level we try to improve it with this other path
      and then um,
      uh, when it gets to be uh,
      January
      some point uh,
      we say, ""O_K we - we  have  shown that we can improve this, in this way.  So now uh  um  what's your  newest  version?""
A: And then maybe they'll have something that's  better  and then we - we'd combine it.
B: This is always hard. I mean I - I - I used to work  with uh
      folks who were trying to improve a good
      uh, H_M_M system with uh - with a neural net system
      and uh, it was  a common problem that you'd -
      Oh, and this - Actually, this is true not just for neural nets but just for - in general if people were  working with uh, rescoring
      uh, N_best lists or lattices that come - came from uh, a mainstream recognizer. Uh, You get something from the -
      the other site at one point and you work really hard on making it better with rescoring.
      But  they're  working really hard, too.
      So by the time  you have uh, improved their score,
      Mmm.
",A
40,"A: But why - if you're - if you're multi- if you're altering the  model,  why w- in the  test  data, why would you have to muck with the uh cepstral coefficients?
B: Because in uh test - in uh test data you ca- don't have a model. You have uh only data. But in a - in a tr-
A: No. But you're  running  your data through that same  model.
B: That is true, but w- I mean, so what you want to do -
A: You want to say if uh obs- you -
      if you observe something like Stephane observes, that C_one is not important, you can do two things.
      Mm-hmm.
B: Mm-hmm.
      If you have a trained - trained recognizer, in the model, you  know
",B
41,"A: Yeah.
B: I mean uh my - my guess would be that this is - since TIMIT's read speech that this would be less of a big deal, if you went and looked at spontaneous speech it'd be more - more of one.
A: Mm-hmm.
B: Right.
      Right.
      And the other thing would be, say, if you had these ten events, you'd wanna see, well what if you took
A: two events or four events or ten events or t- and you know, and -
      and hopefully there should be some point at which
      having more information doesn't tell you
      really all that much more about what the phones are.
      Mm-hmm.
B: You could define
       other  events as being  sequences  of  these  events
       too.
",B
42,"A: I'm actually re-optimizing them.
B: Although that hasn't shown to make  a big difference.
      O_K. And the pru- the question he was asking at one point about pruning,
A: uh -
      Pruning - ?
B: Remember that one?
A: Pruning in the - ?
B: Well, he was - he's - it looked like the probabil- at one point he was looking at the probabilities he was getting out - at the likelihoods he was getting out of P_L_P versus mel cepstrum, and they looked pretty different,
",B
43,"A: Oh. This moved in the - Yeah.
B: So - so, stand- standing back from that, you sort of say there's this very detailed representation.
A: Mm-hmm.
B: You go to a smooth representation.  You go to a smooth representation cuz this typically generalizes better.
A: Mm-hmm.
B: Um,  but  whenever you smooth you lose  something,   so the question is have you lost something you can you  use?
",B
44,"A: And you can decode  that  now with speech that you've actually  processed  using this  longer  time, uh, subtraction.
      Mmm.
B: So I mean, it's - it's common that people do this sort of thing where they do more things that are more complex or require looking over more time, whatever, in some kind of second pass.
A: Mm-hmm.
B: O_K.
      um, and again, if the second pass is  really,  really  fast  - Uh, another one I've heard of is - is in - in connected digit stuff,
A: um, going back and l- and through backtrace and finding regions that are considered to be a d- a digit,
      but, uh, which have very low energy.
      Mm-hmm.
B: O_K.
      So, uh - I mean, there's lots of things you can do in second passes, at all sorts of levels. Anyway, I'm throwing too many things out. But.
",B
45,"A: Well. It depends how much we wanna
B: do gamesmanship and how much we wanna do -  I mean, i- if he-
A: it - to me, actually, even if you wanna be - play on the gamesmanship side, it can be kinda tricky. So, I mean,
B: what you would do is set the - set the scaling factors, uh,
      so that you got the best number for this point four five times the -  you know, and so on.
      Mm-hmm.
A: But they might change that - those weightings.
B: Yeah.
",A
46,"A: P_L_P twelve on-line delta-delta and  M_S_G   filter  together.
      The combination, I see.
B: The combination, yeah. But I haven't result  at this moment.
A: M_S_G and - and P_L_P.
B: Yeah.
A: And is this with the revised  on-line normalization?
B: Ye- Uh, with the old   older , yeah.
",A
47,"A: So, currently d- uh, we have system that has two hundred and thirty. So,
       Yeah .
B: that's fine.
A: Two thirty.
B: Yeah.
A: So that's the system that's described on the second point of  this  document.
      So it's -
B: we have to reduce it by ten milliseconds somehow.
",A
48,"A: and say ""Aha!
B: th-  this  utterance is talking about an attempt to reach a goal.
      The goal is this, the pers- the, uh traveler is that, uh the sor- w- where we are at now is is this, they've mentioned possible obstacles, et cetera.""
      So th- the - and this is an - again attempt to get
      very wide coverage. So if you can  do  this,
      then the notion would be that across a  very   large  range of  domains,  you could use this deep  conceptual  basis as the  interface.
      Mm-hmm.
A: Mm-hmm.
      And then,
B: uh
      The  processing  of that,  both  on the  input  end,
       recognizing  that  certain   words  in a language  talk   about   containers  or  goals,  et  cetera,
      and on the  output  end, given this kind of  information,  you can then
      uh  make   decisions  about what  actions  to  take.
       Provides,  they  claim,
      a very powerful,  general
      notion of  deep  semantics.
      So  that's  what we're  really  doing.
      Mm-hmm.
A: And  Nancy  is going to - Her  talk
B: is going to be  not  about using this in applications, but about modeling how children might  learn
      Mm-hmm.
",A
49,"A: or - Shou- Yeah. But -
B: Wh- ? But let me ask you this. What - what's the, um - ?
A: Mmm.
B: Do you kno- recall if the insertions were -
A: were higher with M_S_G?
      I don't know. I cannot tell. But -
B: It's - it -
      the - the error rate is higher.
      Yeah. But you should always look at insertions, deletions, and substitutions. So -
",B
50,"A: Um, and so, yeah, this will be another filter which would add ten milliseconds again.
B: Yeah.
A: Um,
B: yeah, and then there's a third thing,
      is that,
      um,
      basically the way
      on-line normalization was done
      uh,
      is just using this recursion
      Yeah.
A: on - on the um,
B: um,
      on the feature stream,
      and - but this is a filter, so it has also a delay.
      Uh, and when we
      look at this filter actually it has a delay of eighty-five milliseconds. So if we -
       Eighty - five .
",B
51,"A: at one side of the - for - for a particular phoneme at one side of the boundary - decision boundary and one for another phoneme at the other side.
B: And  so there is kind of reduction of the information there that's not correct because if we change task
       and if the phonemes are not in the same context in the new task,
       obviously the  decision boundaries are not -
       should not be at the same  place.
      But the way the feature gives -
      I di-
A: The - the way the network gives the features is that it reduce completely the -
B: it removes completely the information -
       a lot of information from the - the features
       by uh
       uh
       placing the decision boundaries at  optimal places for
       one kind of  data  but
       this is not the case for another kind of data.
       It's  a  trade-off,  right?  Any-  anyway  go  ahead.
A: So -
B: Yeah. So uh what we were thinking about is perhaps
       um one way
       to solve this problem is increase the number of  outputs of the neural networks.
      Doing something like, um
       um phonemes within context and,
      well, basically context dependent phonemes.
      Maybe. I mean, I - I think
",B
52,"A: if it's got
      um, let's say one in - in, you know, different tenses or my beliefs and  your  beliefs, or any of these other ones of - of multiple models. So
      um
      you know, in the long run we need to solve  both  of those and my suggestion is that we
B: start
A: digging into
      them both, uh, in a way we- that, you know, th-  hopefully  turns out to be consistent, so that the -
B: Um.
A: And  sometimes  it's actually  easier
B: to solve two hard problems than  one  because they  constrain  each other. I mean if you've got huge ra- huge range of possible choices
",B
53,"A: since things are - things are different. And I guess if the -
B: Mm-hmm. Mm-hmm.
A: These are all - so all of these seventy-three features are going into,
B: um,
      the, uh - the H_M_M.
      Yeah.
A: And is - are - i- i- are - are any deltas being computed of tha- of  them?
B: Of the straight features, yeah.
",A
54,"A: I should tell people outside of this group too uh
      I don't know if we're gonna need it
      uh but
      uh Jeff up at the
      uh University of Washington
      has uh gotten a hold of a uh uh some kind of server farm of uh
      of ten uh uh multiprocessor uh I_B_M machines R_S six thousands
      Mm-hmm.
B: and - and uh so I think each one is four processors or something or - I don't know, eight hundred megahertz or something and
A: there's four processors in a box and there's ten boxes and there's some kind of ti- so if - you know he's got a lot of processing power
      and um we'd have to schedule it but if we have some big jobs and we wanna -
      wanna - wanna run them he's -
      he's offering it.
      Mm-hmm.
B: So.
A: It's uh
      when he was here eh uh he - he used i- not only every machine here but every machine on campus as far as I could tell, so -  so in some ways he just got his payback, but
      Mm-hmm.
B: uh
",B
55,"A: of constructions, so- some lexical and some phrasal, and - and, you know, whatever you need in order to
B: Mm-hmm.
A: uh, be able to then,
B: uh, by hand,
      you know, explain,
      Mm-hmm.
A: Yeah.
      some fraction of the utterances.
B: And so, exactly which ones will partly depend on your research interests and a bunch of other things.
      Mm-hmm.
",A
56,"A: Yeah.
B: O_K.
A: Well, actually, I, uh - you should check with him, because he tried several different combinations.
B: Because you end up with this huge  feature  vector, so that might be a problem, a- unless you do some form of dimensionality reduction.
A: Yeah. I, uh, th-
B: what I don't remember is which came out  best.  So he did one where he put o- put e- the whole thing into one K_L_T,
      and  another  one, since the - the P_L_P things are already orthogonalized,
      Mm-hmm.
",A
57,"A: But - but wait a minute. You may not need to re- uh uh retrain the m- model.
      You just may n- may need to c- uh give uh less  weight
      to -
      to
      uh a mod- uh a component of the model which represents this particular feature.
      You don't have to  retrain  it.
      Oh. So if you - Instead of altering the  feature  vectors  themselves,
B: You just multiply.
A: you - you modify the - the - the  Gaussians  in the  models.
B: Yeah.
A: Yep.
      You modify the Gaussian in the  model,  but in the - in the  test  data you would have to put it in the power, but in a  training  what you c- in a  training  uh - in trained model,
      Uh-huh.
B: all you would have to do is to multiply a  model  by appropriate  constant.
",B
58,"A: Uh, I - I don't know. I think we're - we're integrated a little more tightly than happens in a lot of those cases. I think at the moment they -
B: they say that they have a better thing we can - we - e- e-
      Mmm.
A: What takes all the time here is that th- we're trying so many things, presumably
B: uh, in a - in a day we could turn around uh, taking a new set of things from them and - and rescoring it, right? So.
      Mmm.
A: Yeah.
      Yeah, perhaps we could.
      Yeah.
B: Well, O_K. No, this is - I think this is good. I think that the  most  wide open thing is the issues about the
      uh, you know,
      different  trainings.  You know, da- training targets and
      Mmm.
",A
59,"A: We tried uh
B: things which uh a long time ago Bill Byrne suggested, instead of using Fourier spectrum, from Fourier transform, use the spectrum from L_P_C model.
      Their argument there was the L_P_C model fits the  peaks  of the spectrum, so it may be m- naturally more robust in  noise.
      And I thought ""well, that makes sense,"" but so far we can't get much - much  out  of it.
      Hmm.
A: uh we may try some standard techniques like spectral subtraction and -
B: You haven't tried that yet?
A: not - not - not much. Or even I was thinking about uh looking back into these totally ad- hoc  techniques like for instance uh
B: Hmm.
",A
60,"A: Starts -
B: No.
      No.
A: No.
B: That's a different thing.
A: There's another - I don't know. It starts with a P_ or something. I forget the word for it,
B: Oh.
",A
